Temp_min,Temp_max,DisO2_min,DisO2_max,pH_min,pH_max,Conductivity_min,Conductivity_max,N_min,N_max,Fecal_Col_min,Fecal_Col_max,Total_Coli_min,Total_Coli_max,BOD_avg,Type_RIVER,Type_LAKE ,Type_TANK ,Type_WETLAND ,Type_POND 
18.0,32.0,0.9,7.4,7.3,8.3,320.0,780.0,0.3,5.44,93.0,240.0,150.0,460.0,3.1,1,0,0,0,0
17.0,31.0,1.5,6.2,7.6,8.2,374.0,980.0,0.3,9.89,93.0,240.0,240.0,1100.0,2.4,1,0,0,0,0
21.0,32.0,1.1,4.2,7.7,8.9,1180.0,1990.0,0.3,12.42,75.0,150.0,120.0,240.0,3.6,1,0,0,0,0
20.0,25.0,6.0,9.0,7.0,7.6,161.0,218.0,0.6,1.0,300.0,730.0,1100.0,2100.0,2.3,1,0,0,0,0
16.0,28.0,6.8,8.4,7.1,7.7,125.0,209.0,0.8,1.4,300.0,360.0,360.0,910.0,2.45,1,0,0,0,0
22.0,32.0,7.2,7.8,7.2,7.8,148.0,169.0,0.8,1.2,300.0,910.0,910.0,2000.0,2.35,1,0,0,0,0
19.0,31.0,6.4,9.2,7.2,7.6,150.0,170.0,0.6,1.4,610.0,910.0,1400.0,2100.0,1.9,1,0,0,0,0
26.0,30.0,5.4,7.6,7.0,7.6,164.0,184.0,0.7,1.4,300.0,910.0,1100.0,2100.0,2.1,1,0,0,0,0
19.0,30.0,6.2,9.2,7.0,7.5,166.0,188.0,0.8,1.6,300.0,910.0,1400.0,2100.0,2.4,1,0,0,0,0
19.0,30.0,6.8,9.2,7.0,7.8,170.0,183.0,0.6,1.4,360.0,910.0,1100.0,2100.0,2.3,1,0,0,0,0
22.0,26.0,6.2,9.5,7.3,7.8,146.0,186.0,0.7,1.6,360.0,910.0,910.0,2000.0,2.55,1,0,0,0,0
22.0,33.0,5.3,7.5,7.0,7.8,195.0,228.0,0.6,1.0,300.0,730.0,1100.0,1500.0,2.3,1,0,0,0,0
22.0,25.0,6.0,8.2,7.2,7.8,148.0,179.0,0.6,1.3,300.0,730.0,1100.0,1500.0,2.4,1,0,0,0,0
18.0,28.0,7.2,7.6,7.0,7.6,131.0,213.0,0.6,1.0,300.0,730.0,910.0,1500.0,2.25,1,0,0,0,0
20.0,25.0,4.2,9.1,7.0,7.6,132.0,157.0,0.8,1.8,300.0,910.0,730.0,2000.0,2.3,1,0,0,0,0
22.0,25.0,5.3,9.5,7.4,8.1,176.0,217.0,0.7,1.0,300.0,910.0,1100.0,2000.0,2.4,1,0,0,0,0
22.0,25.0,5.2,8.8,7.5,7.9,183.0,209.0,0.7,1.1,360.0,910.0,1100.0,2100.0,2.5,1,0,0,0,0
20.0,32.6,4.8,7.5,7.0,8.5,94.0,500.0,0.7,4.4,1899.368138671069,2903798.391160677,13358.120033112582,17504450.224937864,2.1,1,0,0,0,0
21.0,33.0,3.8,6.8,7.4,8.0,44.0,762.0,0.6,4.5,1899.368138671069,2903798.391160677,13358.120033112582,17504450.224937864,2.2,1,0,0,0,0
19.0,34.6,0.8,5.6,7.1,7.8,164.0,360.0,0.7,2.1,1899.368138671069,2903798.391160677,13358.120033112582,17504450.224937864,3.1,1,0,0,0,0
20.0,33.9,4.6,6.6,7.0,8.5,107.0,450.0,0.6,10.0,1899.368138671069,2903798.391160677,13358.120033112582,17504450.224937864,2.1,1,0,0,0,0
15.0,33.8,3.5,6.4,7.4,8.5,100.0,213.0,0.9,2.5,1899.368138671069,2903798.391160677,13358.120033112582,17504450.224937864,1.9,1,0,0,0,0
